Order,State,Drug Used Past year,"12 or Older
Estimate (Past year)",12 or Older past year (min),12 or Older past year (max),"12-17
Estimate (past year)","12-17
past year (min)","12-17
 past year (max)","18-25
Estimate (Past year)","18-25
past year (min)","18-25
 past year (max)","26 or Older
Estimate (Past year)","26 or Older
past year (min)","26 or Older
 past year (max)","18 or Older
Estimate (Past year)","18 or Older
past year (min)","18 or Older
 past year (max)",Drugs Used Past Month,"12 or Older
Estimate (Past Month)",12 or Older past Month (min),12 or Older past Month (max),"12-17
Estimate (past Month)","12-17
past Month (min)","12-17
past Month (max)","18-25
Estimate (past Month)","18-25
past Month (min)","18-25
past Month (max)","26 or Older
Estimate (past Month)","26 or Older
past Month (min)","26 or Older
 past Month (max)","18 or Older
Estimate (past Month)","18 or Older
past Month (min)","18 or Older
 past Month (max)"
26,Maryland,Past Year,138,109,174,14,10,18,47,37,60,77,54,109,124,96,160,past Month,644,561,737,37,30,46,166,142,191,441,369,525,607,526,698
27,Massachusetts,Past Year,201,158,254,16,12,21,69,54,88,116,84,160,185,144,237,past Month,"1,008",897,"1,129",53,43,64,265,232,301,690,593,800,955,846,"1,074"
28,Michigan,Past Year,234,197,279,23,18,29,85,71,101,127,96,166,211,175,255,past Month,"1,312","1,211","1,419",67,57,78,343,313,375,902,809,"1,003","1,245","1,145","1,351"
29,Minnesota,Past Year,131,103,166,15,11,20,41,32,53,74,53,103,116,89,149,past Month,534,461,616,36,28,45,138,117,161,360,298,433,498,427,578
30,Mississippi,Past Year,65,50,84,6,5,8,19,14,24,40,28,57,59,45,77,past Month,225,192,263,16,13,20,61,51,71,148,120,183,209,177,246
31,Missouri,Past Year,146,115,185,15,11,20,46,36,59,85,61,118,131,102,168,past Month,543,466,631,35,28,44,143,122,166,365,299,445,508,433,594
32,Montana,Past Year,31,25,39,3,2,4,9,7,11,19,14,26,28,22,36,past Month,147,129,166,9,7,11,34,30,39,103,87,122,138,120,157
33,Nebraska,Past Year,40,32,52,4,3,6,15,12,19,21,15,31,36,28,47,past Month,149,127,175,13,10,16,48,41,56,88,70,111,137,115,162
34,Nevada,Past Year,112,89,141,11,8,15,28,22,36,73,54,99,101,79,129,past Month,450,396,511,24,20,30,94,82,106,332,282,389,426,372,486
35,New Hampshire,Past Year,34,27,44,3,2,4,11,9,15,20,14,28,31,24,40,past Month,185,162,211,10,8,12,46,39,52,130,109,154,175,152,201
36,New Jersey,Past Year,200,162,248,17,13,23,67,54,83,116,86,158,183,146,230,past Month,765,676,864,52,43,64,209,181,240,503,423,597,712,626,811
37,New Mexico,Past Year,51,40,66,7,5,9,16,13,21,28,19,41,44,34,58,past Month,243,210,280,19,15,24,55,47,64,169,139,203,223,191,260
38,New York,Past Year,498,427,581,39,32,49,157,134,184,301,242,375,459,390,540,past Month,"2,062","1,896","2,241",112,97,130,533,484,585,"1,417","1,264","1,587","1,950","1,787","2,126"
39,North Carolina,Past Year,250,203,309,25,19,32,81,66,99,145,107,194,226,181,282,past Month,927,823,"1,043",65,54,79,231,202,262,632,538,740,862,760,976
40,North Dakota,Past Year,19,15,24,2,1,2,7,5,8,10,7,15,17,13,22,past Month,56,48,66,3,3,4,17,14,20,36,29,45,53,45,62
41,Ohio,Past Year,339,288,399,31,25,39,99,83,117,209,166,264,308,259,366,past Month,"1,146","1,045","1,256",71,61,83,280,252,310,795,702,899,"1,075",976,"1,183"
42,Oklahoma,Past Year,92,72,118,10,7,14,28,22,37,54,38,76,82,63,107,past Month,392,339,452,24,19,31,87,74,103,280,233,336,367,315,426
43,Oregon,Past Year,129,102,164,13,10,17,36,28,46,80,58,111,116,90,150,past Month,712,639,792,34,28,41,140,123,158,538,470,613,678,606,757
44,Pennsylvania,Past Year,317,268,376,26,21,33,100,84,119,191,150,243,291,243,348,past Month,"1,196","1,079","1,326",66,56,78,269,239,301,862,754,982,"1,130","1,015","1,258"
45,Rhode Island,Past Year,28,22,35,2,2,3,10,8,13,15,11,21,25,20,32,past Month,158,140,178,7,6,9,40,35,46,111,94,129,151,133,170
46,South Carolina,Past Year,101,77,131,11,8,15,31,24,41,58,40,84,89,67,119,past Month,450,382,529,31,25,39,102,85,121,317,256,389,419,352,496
47,South Dakota,Past Year,17,13,22,2,2,3,6,4,8,9,6,14,15,11,20,past Month,54,45,64,5,4,6,15,12,18,35,27,44,49,41,60
48,Tennessee,Past Year,160,125,204,16,12,21,45,35,58,99,72,137,144,111,187,past Month,578,495,674,35,28,45,135,113,160,408,335,496,543,462,637
49,Texas,Past Year,519,440,611,63,49,79,173,144,208,283,222,360,456,382,543,past Month,"2,054","1,871","2,249",177,151,207,550,489,617,"1,327","1,167","1,506","1,877","1,699","2,068"
50,Utah,Past Year,73,58,92,8,6,11,27,21,35,38,27,52,65,51,83,past Month,208,175,244,19,15,24,67,55,81,121,96,152,189,158,223
51,Vermont,Past Year,22,17,27,2,1,2,7,6,9,13,9,17,20,16,25,past Month,115,103,129,6,5,7,29,26,33,80,69,93,110,97,123
52,Virginia,Past Year,211,172,259,20,15,26,72,58,89,119,89,159,191,154,237,past Month,654,578,740,44,36,54,196,170,224,415,349,492,610,536,694
53,Washington,Past Year,199,155,256,19,14,25,59,47,75,121,86,171,181,139,236,past Month,"1,235","1,104","1,378",61,49,75,244,214,275,931,809,"1,067","1,174","1,046","1,315"
54,West Virginia,Past Year,42,33,54,4,3,6,13,10,17,25,18,35,38,29,49,past Month,164,141,190,11,9,13,38,33,45,115,94,139,153,130,179
55,Wisconsin,Past Year,127,98,163,13,9,17,42,32,54,72,50,102,114,86,149,past Month,537,462,621,37,30,45,138,118,161,361,296,439,500,426,583
56,Wyoming,Past Year,11,8,14,1,1,2,4,3,5,6,4,8,9,7,12,past Month,42,35,49,4,3,5,11,9,13,27,22,34,38,32,45
